	Correct Word	Whisper Prediction	Match	Start Time	End Time	Execution Time
589	we	bye.	0	205.95	206.04	627.43
590	got	and headóc.	0	206.04	206.24	630.07
591	farther	farther.	0	206.24	206.60	630.68
592	and	thanks for watching guys!	0	206.60	206.72	633.07
593	farther	far,dam.	0	206.72	207.01	635.63
594	upstream	upstream.	0	207.01	207.76	636.27
595	in	and...	0	207.91	208.02	636.99
596	a		0	208.02	208.07	637.67
597	dark	dark.	0	208.07	208.36	638.39
598	tangle	tangle.	0	208.36	208.70	639.06
599	of		0	208.70	208.80	639.66
600	rivers	rivers.	0	208.80	209.32	640.27
601	lakes	likes.	0	209.32	209.65	640.86
602	morasses	marassas.	0	209.65	210.34	641.50
603	and		0	210.34	210.45	642.08
604	dense	intense.	0	210.45	210.74	644.20
605	forests	poached forest.	0	210.74	211.40	646.29
606	with	with.	0	211.75	211.92	646.86
607	here	here.	0	211.92	212.15	647.47
608	and		0	212.15	212.28	648.09
609	there	there.	0	212.28	212.49	648.68
610	an		0	212.49	212.57	649.37
611	unexpected	unexpected.	0	212.57	213.14	651.46
612	long	long.	0	213.14	213.42	652.04
613	spur	as a	0	213.42	213.67	654.06
614	running		0	213.67	214.18	654.65
615	out	out.	0	214.18	214.37	655.23
616	from	up	0	214.37	214.56	657.27
617	the		0	214.56	214.63	657.84
618	big		0	214.63	214.82	658.40
619	mountains	mountains.	0	214.82	215.26	658.98
620	beyond	beyond.	0	215.26	215.79	659.57
621	i	bye.	0	216.49	216.66	660.25
622	noticed	i know the sun吸	0	216.66	217.05	662.34
623	that		0	217.05	217.15	662.92
624	more	more.	0	217.15	217.39	663.50
625	and	are you sure?	0	217.39	217.47	665.74
626	more	more.	0	217.47	217.70	666.33
627	of	.	0	217.70	217.77	666.99
628	these	this.	0	217.77	218.05	667.58
629	savages	groom	0	218.05	218.48	670.12
630	had	sorry.	0	218.48	218.63	672.39
631	a		0	218.63	218.66	673.00
632	story	story.	0	218.66	219.26	673.73
633	about	about.	0	219.73	219.97	676.09
634	a	ok...	0	219.97	220.01	678.33
635	strange	strange.	0	220.01	220.61	678.94
636	and		0	220.61	220.71	679.59
637	terrible	terrible.	0	220.71	221.22	680.21
638	woman	woman.	0	221.22	221.58	680.83
639	land	land.	0	221.58	221.99	681.46
640	in		0	221.99	222.10	682.07
641	the	shot	0	222.10	222.16	684.25
642	high	thank you.	0	222.16	222.44	686.46
643	distance	distance.	0	222.44	223.02	687.02
644	up	why does the	0	223.74	223.92	689.09
645	yonder	yonder.	0	223.92	224.57	689.70
646	over	oh.	0	225.03	225.20	690.66
647	there	good!	0	225.20	225.35	693.01
648	way	ah...	0	225.35	225.64	695.33
649	up		0	225.64	225.79	695.92
650	was	then we do that. do you need to look the next way? and let dad decide about the way he works on me one day. let all the computers run through your units and you step into both your wells. why are you saying this is starting? dad stays in trouble that i just made them run. why you hurt, dad? half of your work all running into your dreams.	0	225.79	225.96	699.70
651	all		0	225.96	226.02	700.35
652	the	for that.	0	226.02	226.46	702.66
653	direction	was all the direction.	0	226.59	227.54	703.33
654	they	...and i can say.	0	227.54	227.64	705.80
655	could	good.	0	227.64	227.77	707.96
656	offer	offer.	0	227.77	228.22	708.65
657	but	bye.	0	228.93	229.06	709.24
658	their	there.	0	229.06	229.20	709.84
659	legends	elections.	0	229.20	229.63	710.44
660	all	alter cao cao cao cao, this is cho cao cao to senior	0	229.63	229.85	712.75
661	agreed	oh, no great.	0	229.85	230.18	715.03
662	on		0	230.18	230.30	715.68
663	the		0	230.30	230.40	716.38
664	main		0	230.40	230.66	717.08
665	point	point.	0	230.66	231.09	717.81
666	that	that was	0	231.77	231.94	720.15
667	there	there.	0	231.94	232.11	720.74
668	was	was	1	232.11	232.32	722.96
669	this	this.	0	232.32	232.48	723.55
670	strange	strange.	0	232.48	233.30	724.18
671	country	country.	0	233.30	233.83	724.77
672	where		0	233.83	234.05	725.39
673	no	and no.	0	234.05	234.38	725.98
674	men		0	234.38	234.99	726.56
675	lived	lived.	0	234.99	235.44	727.16
676	only	only	1	236.09	236.38	727.74
677	women	women.	0	236.38	236.87	728.36
678	and	and	1	237.38	237.55	728.96
679	girl	girls	0	237.55	237.83	731.11
680	children	children.	0	237.83	238.43	731.73
681	none	that's it!	0	239.55	239.73	732.82
682	of	lv	0	239.73	239.84	735.44
683	them	them.	0	239.84	239.98	736.05
684	had	it.	0	239.98	240.21	738.24
685	ever	ever.	0	240.24	240.50	738.81
686	seen	seen.	0	240.50	240.85	740.94
687	it	9th probably failed! 13th carne 13thgame3	0	240.85	241.00	743.29
688	it	oops.	0	241.17	241.28	745.38
689	was	with	0	241.28	241.44	745.94
690	dangerous	dangerous.	0	241.44	242.02	746.55
691	deadly	deadly.	0	242.02	242.57	747.16
692	they		0	242.57	242.71	747.77
693	said	said.	0	242.71	243.06	748.40
694	for		0	243.06	243.21	748.99
695	any	or anything.	0	243.21	243.48	751.15
696	man	men.	0	243.48	243.85	753.29
697	to	everything.	0	243.88	243.94	755.49
698	go		0	243.94	244.18	756.06
699	there	there.	0	244.18	244.50	756.65
700	but	tournaments,	0	245.35	245.47	758.93
701	there	t	0	245.47	245.61	761.04
702	were		0	245.61	245.73	761.63
703	tales	tails	0	245.73	246.27	763.81
704	of		0	246.27	246.40	764.54
705	long	long.	0	246.40	246.71	765.10
706	ago	same.	0	246.71	247.26	767.20
707	when	when	1	247.72	247.89	767.76
708	some	some	1	247.89	248.21	769.80
709	brave	brave.	0	248.21	248.58	770.37
710	investigator	investigator.	0	248.58	249.29	770.94
711	had	ahead.	0	249.29	249.46	773.08
712	seen	seen.	0	249.46	249.72	773.76
713	it		0	249.72	249.91	774.45
714	a	a	1	250.34	250.40	776.54
715	big		0	250.40	250.72	777.09
716	country	country.	0	250.72	251.26	777.69
717	big	take.	0	251.73	251.93	778.29
718	houses	houses.	0	251.93	252.54	778.87
719	plenty	plenty.	0	252.97	253.30	779.44
720	people	people.	0	253.30	253.73	780.04
721	all	all	1	254.30	254.72	782.11
722	women	women.	0	254.72	255.18	782.71
723	had	head.	0	256.96	257.15	784.75
724	no	no.	0	257.15	257.36	785.33
725	one	friend,	0	257.36	257.54	787.38
726	else	else!	0	257.54	257.78	789.51
727	gone	god.	0	257.78	258.18	790.09
728	yes	oh yes.	0	258.78	259.19	790.69
729	a		0	259.19	259.24	791.27
730	good	good.	0	259.24	259.45	791.96
731	many	many.	0	259.45	259.90	792.54
732	but	bye.	0	260.38	260.50	793.10
733	they	today.	0	260.50	260.63	795.28
734	never	never	1	260.63	260.98	797.37
735	came	came.	0	260.98	261.39	797.97
736	back	back.	0	261.39	261.84	798.56
737	it	cud	0	262.46	262.60	800.83
738	was	with	0	262.60	262.78	801.49
739	no	no.	0	262.78	263.17	802.07
740	place	please.	0	263.17	263.57	802.64
741	for		0	263.57	263.71	803.24
742	men	amen.	0	263.71	264.12	803.84
743	of	okay.	0	264.62	264.79	804.46
744	that	youocalyptic era let's do this and fix it.	0	264.79	264.97	806.75
745	they		0	264.97	265.08	807.32
746	seemed	very simple.	0	265.08	265.39	809.39
747	sure	sure.	0	265.39	265.81	809.96
748	i	bye.	0	267.00	267.20	810.65
749	told	lifesets tale.	0	267.20	267.41	812.94
750	the		0	267.41	267.47	813.61
751	boys		0	267.47	267.79	814.15
752	about	doorway	0	267.79	268.01	816.36
753	these	please.	0	268.01	268.19	816.92
754	stories	stories.	0	268.19	268.59	817.49
755	and		0	268.59	268.68	818.10
756	they		0	268.68	268.80	818.69
757	laughed	left.	0	268.80	269.18	819.26
758	at		0	269.18	269.27	819.83
759	them	them.	0	269.27	269.52	820.40
760	naturally	naturally.	0	270.11	270.51	820.97
761	i	fire fry	0	270.51	270.58	823.55
762	did	did.	0	270.58	270.76	824.17
763	myself	myself.	0	270.76	271.30	824.74
764	i	bye.	0	271.83	271.96	825.34
765	knew		0	271.96	272.09	825.94
766	the		0	272.09	272.17	826.51
767	stuff	stuff.	0	272.17	272.50	827.09
768	that		0	272.50	272.57	827.67
769	savage	savage.	0	272.57	272.98	828.23
770	dreams	dreams.	0	272.98	273.32	828.81
771	are		0	273.32	273.36	829.38
772	made	made.	0	273.36	273.60	829.94
773	of		0	273.60	273.83	830.50
774	but	bye.	0	274.88	275.06	831.07
775	when	when?	0	275.06	275.33	831.66
776	we	it was dry but the material was pretty clear. 6. mal, kill... small repair time... 2 branches to complete 1 and a half or maybe 10 µrs – 5. 1 x frame time ... 2. 3. 18x eyeliner, 2 1 v plus 2 1ron, 3 ρ… 1. 3, 2, 3 v plus 2, 3 v… 2. 3 p9, 6 d… 3. we enter the dismayer, 7 blot. 3. and the 3 odd wires shouldn't go from 1. 4x one step to 1. 3. 2. here... 12th point, we just need the cycle. 7. yes, ok. we just need a 3x brush total.clear. lt could have y perfume.	0	275.33	275.43	837.89
777	had	thank you.	0	275.43	275.67	840.09
778	reached	reached.	0	275.67	275.92	840.68
779	our		0	275.92	276.01	841.27
780	farthest	farthest.	0	276.01	276.52	841.90
781	point	point.	0	276.52	276.95	842.49
782	just	just...	0	277.32	277.55	843.07
783	the		0	277.55	277.62	843.65
784	day		0	277.62	277.74	844.33
785	before	,	0	277.74	278.00	846.37
786	we	until you see it.	0	278.00	278.14	848.95
787	all		0	278.14	278.27	849.50
788	had	head.	0	278.27	278.52	850.08
789	to		0	278.52	278.55	850.73
790	turn	turn	1	278.55	278.76	851.29
791	around	around.	0	278.76	279.08	851.88
792	and		0	279.08	279.16	852.47
793	start	start.	0	279.16	279.44	853.15
794	for		0	279.44	279.55	853.78
795	home	a	0	279.55	279.79	856.00
796	again	again.	0	279.79	280.21	856.67
797	as	as	1	280.54	280.70	857.23
798	the	buttonoll	0	280.70	280.77	860.83
799	best	best.	0	280.77	281.09	861.40
800	of		0	281.09	281.18	861.93
801	expeditions	expeditions.	0	281.18	281.83	862.54
802	must	must.	0	281.83	282.13	863.12
803	in		0	282.13	282.26	863.68
804	time	time.	0	282.26	282.69	864.25
805	we	weep.	0	283.22	283.44	864.83
806	three		0	283.44	283.76	865.41
807	made	made.	0	283.76	284.05	865.99
808	a		0	284.05	284.10	866.57
809	discovery	discovery.	0	284.10	284.80	867.16
810	the	.	0	286.04	286.11	869.24
811	main		0	286.11	286.33	869.79
812	encampment	campmen.	0	286.33	286.88	872.15
813	was	razor	0	286.88	287.03	874.39
814	on	.....................	0	287.03	287.12	876.59
815	a		0	287.12	287.15	877.14
816	spit		0	287.15	287.44	877.71
817	of	thank you.	0	287.44	287.55	878.32
818	land	language.	0	287.55	287.84	880.58
819	running	running a	0	287.84	288.15	882.04
820	out	anything料.	0	288.15	288.29	884.27
821	into	and	0	288.29	288.47	884.94
822	the	thanks so much for watching<|en|>	0	288.47	288.54	887.25
823	main		0	288.54	288.79	887.80
824	stream	stream.	0	288.79	289.28	888.48
825	or		0	289.61	289.75	889.09
826	what		0	289.75	289.94	889.69
827	we	we'll need you today why do you do this? i'm sorry i co conferred as tall as a	0	289.94	290.05	892.32
828	thought	first breath.	0	290.05	290.55	894.36
829	was	was	1	290.83	291.05	894.90
830	the	anyway, kids...	0	291.05	291.13	896.93
831	main		0	291.13	291.43	897.49
832	stream	stream.	0	291.43	292.03	898.10
833	it	then at 8.00sec breaths	0	292.69	292.82	900.65
834	had	the feliz!	0	292.82	293.00	902.77
835	the	..	0	293.00	293.06	904.77
836	same	same.	0	293.06	293.41	905.36
837	muddy	marie.	0	293.41	293.62	905.92
838	color	color.	0	293.62	293.93	906.51
839	we	chirauille.	0	293.93	294.04	908.86
840	had		0	294.04	294.13	909.45
841	been		0	294.13	294.26	910.03
842	seeing	same.	0	294.26	294.59	910.62
843	for		0	294.59	294.78	911.18
844	weeks	weeks.	0	295.11	295.50	911.75
845	past	i was happy to spend a very particular planner today.	0	295.95	296.11	914.19
846	the		0	296.11	296.18	914.72
847	same		0	296.18	296.29	915.31
848	taste	tastes	0	296.29	296.85	917.44
849	i	this now is restricted to negative side effects because it doesn't work at all as sort of a or two	0	297.67	297.75	920.26
850	happened	happen.	0	297.75	298.09	922.33
851	to		0	298.09	298.12	922.89
852	speak	speak.	0	298.12	298.40	923.44
853	of		0	298.40	298.49	923.97
854	that	that.	0	298.49	298.65	926.26
855	river	we verbations.	0	298.65	298.86	928.54
856	to	to our written destiny.	0	298.86	299.07	931.14
857	our		0	299.07	299.11	931.71
858	last	last.	0	299.11	299.48	933.75
859	guide	god.	0	299.48	299.81	934.36
860	a	f black	0	299.81	299.88	936.39
861	rather	rather.... that that that that	0	299.88	300.11	938.71
862	superior	superior.	0	300.11	300.64	939.37
863	fellow	1960s cast on the	0	300.64	300.96	941.56
864	with	pleasure.	0	300.96	301.13	943.58
865	quick	quick.	0	301.13	301.35	944.16
866	bright	bright....	0	301.35	301.76	946.33
867	eyes	vecesyy yyyyeey saint обязy?	0	301.76	302.19	948.56
868	he	hi.	0	302.90	303.11	950.59
869	told	total.	0	303.11	303.48	952.68
870	me	meet me.	0	303.48	303.71	954.91
871	that		0	303.71	303.83	955.46
872	there	there.	0	303.83	303.98	956.02
873	was	was	1	303.98	304.19	956.57
874	another	another.	0	304.19	304.46	957.14
875	river	remember. cat? well, i'll let you in you. come forward.	0	304.46	304.90	959.57
876	over	oh, really?	0	305.23	305.49	960.18
877	there	there.	0	305.49	305.91	960.75
878	short	short	1	306.12	306.57	962.83
879	river	paper.	0	306.57	306.92	964.87
880	sweet	sweet.	0	307.11	307.59	965.46
881	water	water.	0	307.59	308.07	966.04
882	red	red.	0	308.43	308.75	966.64
883	and	end.	0	308.75	309.00	967.22
884	blue	below.	0	309.00	309.48	967.81
885	i	bye.	0	310.81	310.97	968.39
886	was	movie and love.	0	310.97	311.15	970.50
887	interested	interested.	0	311.15	311.61	972.56
888	in		0	311.61	311.73	973.09
889	this	this.	0	311.73	312.02	973.65
890	and		0	312.02	312.10	974.28
891	anxious	anxious.	0	312.10	312.62	974.85
892	to		0	312.62	312.65	975.39
893	see		0	312.65	312.85	976.10
894	if	anyway,	0	312.85	312.99	978.96
895	i	music	0	312.99	313.07	981.21
896	had		0	313.07	313.17	981.78
897	understood	understood correct.	0	313.17	313.98	982.38
898	so	so	1	314.85	315.01	982.95
899	i	more many	0	315.01	315.10	985.08
900	showed		0	315.10	315.36	985.65
901	him		0	315.36	315.55	986.23
902	a		0	315.55	315.58	986.80
903	red	you	0	315.58	315.84	988.91
904	and	thank you.	0	315.84	315.95	990.97
905	blue	existed convictions.	0	315.95	316.11	993.18
906	pencil	pencil.	0	316.11	316.50	993.79
907	i	remember like to make a stick	0	316.50	316.61	995.90
908	carried	carried.	0	316.61	316.96	996.48
909	and		0	316.96	317.06	997.03
910	asked	ask.	0	317.06	317.37	999.12
911	again	again.	0	317.37	317.81	999.70
912	yes	yes.	0	318.25	318.85	1000.27
913	he	heat up油.	0	318.89	319.04	1002.43
914	pointed	pointed.	0	319.04	319.42	1003.01
915	to		0	319.42	319.45	1003.65
916	the	it.	0	319.45	319.54	1005.64
917	river	we are fighting.	0	319.54	319.90	1007.72
918	and	and...	0	320.32	320.47	1008.32
919	then	and then...	0	320.47	320.62	1008.90
920	to		0	320.66	320.70	1009.45
921	the	he depends st	0	320.70	320.79	1011.51
922	southwestward	southwest word.	0	320.79	321.60	1012.10
923	river	river.	0	321.93	322.49	1012.66
924	good	good.	0	322.63	322.79	1013.22
925	water		0	322.79	323.10	1013.85
926	red	bed.	0	323.10	323.42	1014.50
927	and		0	323.42	323.72	1015.11
928	blue	blue.	0	323.72	324.11	1015.73
929	terry	terry.	0	325.91	326.16	1016.35
930	was	sorry.	0	326.16	326.32	1018.74
931	close	close.	0	326.32	326.58	1019.38
932	by	bye.	0	326.58	327.01	1020.07
933	and	and	1	327.04	327.16	1020.63
934	interested	interested.	0	327.16	327.67	1022.84
935	in	issues.	0	327.67	327.76	1024.86
936	the		0	327.76	327.82	1025.53
937	fellow	available.	0	327.82	328.09	1027.56
938	s	.	0	328.09	328.20	1028.12
939	pointing	pointing.	0	328.20	328.68	1028.66
940	what	well.	0	329.46	329.56	1030.71
941	does	soek and	0	329.56	329.64	1032.83
942	he		0	329.64	329.73	1033.41
943	say	safe. view of time. view of marcelo suque book.	0	329.73	329.97	1036.16
944	van	you span?	0	329.97	330.37	1038.22
945	i	thank you.	0	331.07	331.14	1038.81
946	told	...tul..	0	331.14	331.41	1040.89
947	him		0	331.41	331.75	1041.55
948	terry	terry.	0	332.39	332.66	1042.10
949	blazed	pleased	0	332.66	333.07	1044.17
950	up	the good episode changed ...	0	333.07	333.21	1046.44
951	at		0	333.21	333.29	1047.01
952	once	once.	0	333.29	333.60	1047.59
953	ask	as	0	333.67	333.91	1048.14
954	him		0	333.91	334.02	1048.74
955	how		0	334.02	334.10	1049.34
956	far	adas ar locks ra	0	334.10	334.37	1051.49
957	it		0	334.37	334.51	1052.21
958	is		0	334.51	334.78	1052.90
959	the	th uh uh	0	335.66	335.72	1055.72
960	man	amen.	0	335.72	335.95	1056.39
961	indicated	indicated.	0	335.95	336.53	1057.22
962	a		0	336.53	336.56	1058.00
963	short	short.	0	336.56	336.94	1058.77
964	journey	journey.	0	336.94	337.44	1059.55
965	i	bye.	0	337.57	337.68	1060.35
966	judged	which is a judgement...	0	337.68	338.06	1063.14
967	about	more about.	0	338.06	338.55	1065.51
968	two	2.	0	338.55	338.82	1066.32
969	hours	hours.	0	338.82	339.38	1066.98
970	maybe	maybe.	0	340.08	340.38	1067.67
971	three		0	340.38	340.81	1068.26
972	let	let's go.	0	341.96	342.09	1068.90
973	s	thanks enormous casha.	0	342.09	342.19	1071.16
974	go	go!	0	342.19	342.51	1071.90
975	urged	by dmit century.	0	342.51	342.74	1074.87
976	terry	terry.	0	342.74	343.02	1075.52
977	just	just	1	343.02	343.33	1076.20
978	us	yes.	0	343.33	343.49	1076.83
979	three	3.	0	343.49	343.83	1078.21
980	maybe	maybe...	0	343.83	344.06	1080.65
981	we	and	0	344.06	344.16	1083.05
982	can		0	344.16	344.29	1083.65
983	really	really.	0	344.29	344.52	1085.73
984	find	fine.	0	344.52	344.96	1086.30
985	something	something.	0	344.96	345.40	1086.91
986	may	may be free.	0	345.43	345.55	1089.18
987	be	even more coherent videos.	0	345.55	345.63	1091.87
988	cinnabar	sinobarth.	0	345.63	346.24	1092.69
989	in		0	346.24	346.30	1093.56
990	it	good night.	0	346.30	346.47	1096.24
991	may	may 1 the	0	347.24	347.40	1098.55
992	be		0	347.40	347.54	1099.18
993	indigo	& to go.	0	347.54	348.11	1101.83
994	jeff	see ya.	0	348.42	348.63	1102.43
995	suggested	suggested.	0	348.63	349.21	1103.02
996	with	with	1	349.21	349.37	1105.05
997	his	his.	0	349.37	349.53	1105.64
998	lazy	lazy.	0	349.53	349.90	1106.25
999	smile	smile.	0	349.90	350.48	1106.80
1000	it	you	0	351.35	351.47	1107.36
1001	was	what's f***!!!	0	351.47	351.63	1109.50
1002	early	early.	0	351.63	351.98	1111.58
1003	yet	yet.	0	351.98	352.33	1112.17
1004	we	weproductxy,	0	352.33	352.47	1114.27
1005	had		0	352.47	352.56	1114.83
1006	just	bye.	0	352.56	352.94	1115.40
1007	breakfasted	breakfasted.	0	352.94	353.61	1116.02
1008	and	and	1	353.97	354.13	1116.60
1009	leaving	길itar cumin	0	354.13	354.45	1118.79
1010	word	horn.	0	354.45	354.85	1121.15
1011	that		0	354.85	354.94	1121.78
1012	we	what will be a	0	354.94	355.04	1123.91
1013	d		0	355.04	355.10	1124.46
1014	be		0	355.10	355.22	1125.00
1015	back	i'll stay back.	0	355.22	355.50	1127.21
1016	before	before.	0	355.50	355.78	1127.78
1017	night	night.	0	355.78	356.09	1130.19
1018	we	wait.	0	356.09	356.23	1130.79
1019	got	god.	0	356.23	356.42	1131.38
1020	away	federal way.	0	356.42	356.67	1133.53
1021	quietly	quietly.	0	356.70	357.35	1134.13
1022	not	now.	0	357.68	357.86	1134.74
1023	wishing	wishing people to be happy with their ideas.	0	357.86	358.18	1137.44
1024	to		0	358.18	358.21	1138.04
1025	be	. . . . . . . . . . . . . . . . . . . . ? . .	0	358.21	358.30	1142.46
1026	thought		0	358.30	358.60	1143.05
1027	too	2.	0	358.60	358.84	1143.63
1028	gullible	gullible.	0	358.84	359.26	1144.25
1029	if		0	359.26	359.35	1144.79
1030	we	wait.	0	359.35	359.45	1145.36
1031	failed	failed.	0	359.45	359.93	1145.91
1032	and	so	0	360.26	360.35	1147.98
1033	secretly	secretly......	0	360.35	360.77	1150.09
1034	hoping	hoping to.	0	360.77	361.18	1152.22
1035	to		0	361.18	361.21	1152.76
1036	have	have super	0	361.21	361.40	1154.80
1037	some	get some news!	0	361.40	361.63	1156.96
1038	nice	nice.	0	361.63	361.89	1157.83
1039	little	little bit.	0	361.89	362.06	1159.11
1040	discovery	to discover you.	0	362.06	362.63	1159.73
1041	all	ill..	0	362.63	362.82	1162.02
1042	to		0	362.88	362.95	1163.00
1043	ourselves	ourselves.	0	362.95	363.61	1163.79
1044	it	it will.	0	364.63	364.89	1164.97
1045	was	was.	0	364.89	365.24	1165.64
1046	a		0	365.24	365.28	1166.38
1047	long	along.	0	365.28	365.96	1167.01
1048	two	2.	0	365.96	366.31	1167.63
1049	hours	hours.	0	366.31	366.80	1168.29
1050	nearer	nearer.	0	366.80	367.14	1168.96
1051	three	three.	0	367.14	367.68	1169.55
1052	i	for to learn.	0	368.20	368.30	1171.76
1053	fancy		0	368.30	368.65	1172.36
1054	the	you	0	368.65	368.71	1174.79
1055	savage	connect the service level.	0	368.71	369.13	1177.32
1056	could	thank you.	0	369.13	369.26	1178.52
1057	have		0	369.26	369.32	1179.11
1058	done	done.	0	369.32	369.50	1179.75
1059	it		0	369.50	369.59	1180.36
1060	alone	alone.	0	369.59	369.88	1180.98
1061	much	much.	0	369.88	370.10	1181.66
1062	quicker	quicker.	0	370.10	370.44	1183.91
1063	there	there	1	371.39	371.55	1185.04
1064	was	there are no other examples from xd xd xd exd qi window	0	371.55	371.72	1187.80
1065	a		0	371.72	371.77	1188.45
1066	desperate	desperate.	0	371.77	372.22	1189.02
1067	tangle		0	372.22	372.57	1189.69
1068	of		0	372.57	372.66	1190.38
1069	wood	word.	0	372.66	372.95	1191.12
1070	and		0	372.95	373.10	1191.75
1071	water	water.	0	373.10	373.46	1192.38
1072	and	fred!	0	373.46	373.57	1194.90
1073	a		0	373.57	373.61	1195.53
1074	swampy	swampy.	0	373.61	374.10	1196.21
1075	patch	hatch.	0	374.10	374.42	1196.85
1076	we	to----	0	374.42	374.56	1199.01
1077	never	never	1	374.56	374.92	1199.58
1078	should	associated with history roofs.	0	374.92	375.15	1201.83
1079	have		0	375.15	375.22	1202.45
1080	found	found.	0	375.22	375.49	1203.06
1081	our		0	375.49	375.56	1203.64
1082	way	rick city	0	375.56	375.78	1205.78
1083	across	cross.	0	375.78	376.16	1206.39
1084	alone	alone.	0	376.16	376.62	1207.10
1085	but	bye.	0	377.15	377.28	1207.69
1086	there		0	377.28	377.38	1208.43
1087	was		0	377.38	377.55	1210.67
1088	one	one.	0	377.55	377.93	1211.28
1089	and	ahead.	0	378.12	378.24	1213.88
1090	i	lh.	0	378.24	378.34	1216.29
1091	could	thank you.	0	378.34	378.49	1216.92
1092	see		0	378.49	378.63	1217.56
1093	terry	it's in a nano.	0	378.63	378.96	1220.03
1094	with	with.	0	378.96	379.12	1222.26
1095	compass	compass.	0	379.12	379.47	1222.89
1096	and	thanks for watching!	0	379.47	379.57	1225.21
1097	notebook	in a book.	0	379.57	380.00	1225.88
1098	marking	marking.	0	380.61	380.97	1226.52
1099	directions	directions.	0	380.97	381.63	1227.19
1100	and	and...	0	381.84	381.94	1227.88
1101	trying	trying to.	0	381.94	382.34	1228.53
1102	to		0	382.34	382.37	1229.12
1103	place	please.	0	382.37	382.69	1229.75
1104	landmarks	landmarks.	0	382.69	383.32	1230.50
1105	we	wait.	0	385.26	385.36	1231.14
1106	came	him releasing ear	0	385.36	385.62	1233.52
1107	after	after.	0	385.62	385.90	1234.13
1108	a		0	385.90	385.96	1234.85
1109	while	wild.	0	385.96	386.37	1235.51
1110	to		0	386.42	386.50	1236.16
1111	a		0	386.50	386.54	1236.72
1112	sort	so	0	386.54	386.81	1237.99
1113	of		0	386.81	386.89	1238.62
1114	marshy	marchi.	0	386.89	387.30	1239.29
1115	lake	link.	0	387.30	387.73	1239.92
1116	very	very	1	387.73	388.03	1240.51
1117	big	big.	0	388.03	388.44	1241.23
1118	so	so	1	388.78	388.91	1241.84
1119	that	visit nanocni coloured.ed	0	388.91	389.07	1244.30
1120	the		0	389.07	389.13	1245.02
1121	circling	circling.	0	389.13	389.59	1245.75
1122	forest	force.	0	389.59	390.02	1246.45
1123	looked		0	390.02	390.20	1247.19
1124	quite	quite	1	390.20	390.58	1249.38
1125	low	hello?	0	390.58	390.92	1251.59
1126	and	and	1	390.92	391.03	1252.15
1127	dim	dim metroid這裡. that's it and see at you all thru the world! that's � any.. you..	0	391.03	391.22	1255.81
1128	across	across.	0	391.22	391.66	1256.41
1129	it	with her.	0	391.66	391.89	1258.88
1130	our	łatire onuen	0	392.35	392.51	1261.21
1131	guide	guide.	0	392.51	392.86	1261.88
1132	told		0	392.86	393.10	1262.54
1133	us		0	393.10	393.30	1263.16
1134	that		0	393.30	393.38	1263.81
1135	boats	but...	0	393.38	393.74	1264.43
