word,mfa_start_time,mfa_end_time,gentle_start_time,gentle_end_time
taste,296.29,296.85,,
I,297.67,297.75,,
happened,297.75,298.09,,
to,298.09,298.12,,
speak,298.12,298.4,,
of,298.4,298.49,,
that,298.49,298.65,,
river,298.65,298.86,,
to,298.86,299.07,,
our,299.07,299.11,,
last,299.11,299.48,,
guide,299.48,299.81,,
a,299.81,299.88,,
rather,299.88,300.11,,
superior,300.11,300.64,,
fellow,300.64,300.96,,
with,300.96,301.13,,
quick,301.13,301.35,,
bright,301.35,301.76,,
eyes,301.76,302.19,,
He,302.9,303.11,,
told,303.11,303.48,,
me,303.48,303.71,,
that,303.71,303.83,,
there,303.83,303.98,,
was,303.98,304.19,,
another,304.19,304.46,,
river,304.46,304.9,,
over,305.23,305.49,,
there,305.49,305.91,,
short,306.12,306.57,,
river,306.57,306.92,,
sweet,307.11,307.59,,
water,307.59,308.07,,
red,308.43,308.75,,
and,308.75,309.0,,
blue,309.0,309.48,,
I,310.81,310.97,,
was,310.97,311.15,,
interested,311.15,311.61,,
in,311.61,311.73,,
this,311.73,312.02,,
and,312.02,312.1,,
anxious,312.1,312.62,,
to,312.62,312.65,,
see,312.65,312.85,,
if,312.85,312.99,,
I,312.99,313.07,,
had,313.07,313.17,,
understood,313.17,313.98,,
so,314.85,315.01,,
I,315.01,315.1,,
showed,315.1,315.36,,
him,315.36,315.55,,
a,315.55,315.58,,
red,315.58,315.84,,
and,315.84,315.95,,
blue,315.95,316.11,,
pencil,316.11,316.5,,
I,316.5,316.61,,
carried,316.61,316.96,,
and,316.96,317.06,,
asked,317.06,317.37,,
again,317.37,317.81,,
Yes,318.25,318.85,,
he,318.89,319.04,,
pointed,319.04,319.42,,
to,319.42,319.45,,
the,319.45,319.54,,
river,319.54,319.9,,
and,320.32,320.47,,
then,320.47,320.62,,
to,320.66,320.7,,
the,320.7,320.79,,
southwestward,320.79,321.6,,
River,321.93,322.49,,
good,322.63,322.79,,
water,322.79,323.1,,
red,323.1,323.42,,
and,323.42,323.72,,
blue,323.72,324.11,,
Terry,325.91,326.16,,
was,326.16,326.32,,
close,326.32,326.58,,
by,326.58,327.01,,
and,327.04,327.16,,
interested,327.16,327.67,,
in,327.67,327.76,,
the,327.76,327.82,,
fellow,327.82,328.09,,
’s,328.09,328.2,,
pointing,328.2,328.68,,
What,329.46,329.56,,
does,329.56,329.64,,
he,329.64,329.73,,
say,329.73,329.97,,
Van,329.97,330.37,,
I,331.07,331.14,,
told,331.14,331.41,,
him,331.41,331.75,,
Terry,332.39,332.66,,
blazed,332.66,333.07,,
up,333.07,333.21,,
at,333.21,333.29,,
once,333.29,333.6,,
Ask,333.67,333.91,,
him,333.91,334.02,,
how,334.02,334.1,,
far,334.1,334.37,,
it,334.37,334.51,,
is,334.51,334.78,,
The,335.66,335.72,,
man,335.72,335.95,,
indicated,335.95,336.53,,
a,336.53,336.56,,
short,336.56,336.94,,
journey,336.94,337.44,,
I,337.57,337.68,,
judged,337.68,338.06,,
about,338.06,338.55,,
two,338.55,338.82,,
hours,338.82,339.38,,
maybe,340.08,340.38,,
three,340.38,340.81,,
Let,341.96,342.09,,
’s,342.09,342.19,,
go,342.19,342.51,,
urged,342.51,342.74,,
Terry,342.74,343.02,,
Just,343.02,343.33,,
us,343.33,343.49,,
three,343.49,343.83,,
Maybe,343.83,344.06,,
we,344.06,344.16,,
can,344.16,344.29,,
really,344.29,344.52,,
find,344.52,344.96,,
something,344.96,345.4,,
May,345.43,345.55,,
be,345.55,345.63,,
cinnabar,345.63,346.24,,
in,346.24,346.3,,
it,346.3,346.47,,
May,347.24,347.4,,
be,347.4,347.54,,
indigo,347.54,348.11,,
Jeff,348.42,348.63,,
suggested,348.63,349.21,,
with,349.21,349.37,,
his,349.37,349.53,,
lazy,349.53,349.9,,
smile,349.9,350.48,,
It,351.35,351.47,,
was,351.47,351.63,,
early,351.63,351.98,,
yet,351.98,352.33,,
we,352.33,352.47,,
had,352.47,352.56,,
just,352.56,352.94,,
breakfasted,352.94,353.61,,
and,353.97,354.13,,
leaving,354.13,354.45,,
word,354.45,354.85,,
that,354.85,354.94,,
we,354.94,355.04,,
’d,355.04,355.1,,
be,355.1,355.22,,
back,355.22,355.5,,
before,355.5,355.78,,
night,355.78,356.09,,
we,356.09,356.23,,
got,356.23,356.42,,
away,356.42,356.67,,
quietly,356.7,357.35,,
not,357.68,357.86,,
wishing,357.86,358.18,,
to,358.18,358.21,,
be,358.21,358.3,,
thought,358.3,358.6,,
too,358.6,358.84,,
gullible,358.84,359.26,,
if,359.26,359.35,,
we,359.35,359.45,,
failed,359.45,359.93,,
and,360.26,360.35,,
secretly,360.35,360.77,,
hoping,360.77,361.18,,
to,361.18,361.21,,
have,361.21,361.4,,
some,361.4,361.63,,
nice,361.63,361.89,,
little,361.89,362.06,,
discovery,362.06,362.63,,
all,362.63,362.82,,
to,362.88,362.95,,
ourselves,362.95,363.61,,
It,364.63,364.89,,
was,364.89,365.24,,
a,365.24,365.28,,
long,365.28,365.96,,
two,365.96,366.31,,
hours,366.31,366.8,,
nearer,366.8,367.14,,
three,367.14,367.68,,
I,368.2,368.3,,
fancy,368.3,368.65,,
the,368.65,368.71,,
savage,368.71,369.13,,
could,369.13,369.26,,
have,369.26,369.32,,
done,369.32,369.5,,
it,369.5,369.59,,
alone,369.59,369.88,,
much,369.88,370.1,,
quicker,370.1,370.44,,
There,371.39,371.55,,
was,371.55,371.72,,
a,371.72,371.77,,
desperate,371.77,372.22,,
tangle,372.22,372.57,,
of,372.57,372.66,,
wood,372.66,372.95,,
and,372.95,373.1,,
water,373.1,373.46,,
and,373.46,373.57,,
a,373.57,373.61,,
swampy,373.61,374.1,,
patch,374.1,374.42,,
we,374.42,374.56,,
never,374.56,374.92,,
should,374.92,375.15,,
have,375.15,375.22,,
found,375.22,375.49,,
our,375.49,375.56,,
way,375.56,375.78,,
across,375.78,376.16,,
alone,376.16,376.62,,
But,377.15,377.28,,
there,377.28,377.38,,
was,377.38,377.55,,
one,377.55,377.93,,
and,378.12,378.24,,
I,378.24,378.34,,
could,378.34,378.49,,
see,378.49,378.63,,
Terry,378.63,378.96,,
with,378.96,379.12,,
compass,379.12,379.47,,
and,379.47,379.57,,
notebook,379.57,380.0,,
marking,380.61,380.97,,
directions,380.97,381.63,,
and,381.84,381.94,,
trying,381.94,382.34,,
to,382.34,382.37,,
place,382.37,382.69,,
landmarks,382.69,383.32,,
We,385.26,385.36,,
came,385.36,385.62,,
after,385.62,385.9,,
a,385.9,385.96,,
while,385.96,386.37,,
to,386.42,386.5,,
a,386.5,386.54,,
sort,386.54,386.81,,
of,386.81,386.89,,
marshy,386.89,387.3,,
lake,387.3,387.73,,
very,387.73,388.03,,
big,388.03,388.44,,
so,388.78,388.91,,
that,388.91,389.07,,
the,389.07,389.13,,
circling,389.13,389.59,,
forest,389.59,390.02,,
looked,390.02,390.2,,
quite,390.2,390.58,,
low,390.58,390.92,,
and,390.92,391.03,,
dim,391.03,391.22,,
across,391.22,391.66,,
it,391.66,391.89,,
Our,392.35,392.51,,
guide,392.51,392.86,,
told,392.86,393.1,,
us,393.1,393.3,,
that,393.3,393.38,,
boats,393.38,393.74,,
could,393.74,393.91,,
go,393.91,394.07,,
from,394.07,394.29,,
there,394.29,394.48,,
to,394.53,394.63,,
our,394.63,394.7,,
camp,394.7,395.11,,
but,395.5,395.8,,
long,396.25,396.62,,
way,396.62,396.97,,
all,397.42,397.68,,
day,397.68,398.14,,
This,399.59,399.83,,
water,399.83,400.04,,
was,400.04,400.23,,
somewhat,400.23,400.64,,
clearer,400.64,401.06,,
than,401.06,401.27,,
that,401.27,401.37,,
we,401.37,401.5,,
had,401.5,401.65,,
left,401.65,402.06,,
but,402.06,402.17,,
we,402.17,402.25,,
could,402.25,402.4,,
not,402.4,402.74,,
judge,402.74,403.09,,
well,403.09,403.4,,
from,403.4,403.63,,
the,403.63,403.69,,
margin,403.69,404.27,,
We,404.73,404.83,,
skirted,404.83,405.23,,
it,405.23,405.36,,
for,405.36,405.48,,
another,405.48,405.72,,
half,405.72,406.02,,
hour,406.02,406.2,,
or,406.2,406.37,,
so,406.37,406.74,,
the,407.14,407.21,,
ground,407.21,407.51,,
growing,407.51,407.79,,
firmer,407.79,408.21,,
as,408.21,408.34,,
we,408.34,408.48,,
advanced,408.48,409.06,,
and,409.48,409.58,,
presently,409.58,410.08,,
we,410.08,410.23,,
turned,410.23,410.52,,
the,410.52,410.58,,
corner,410.58,410.93,,
of,410.93,411.02,,
a,411.02,411.06,,
wooded,411.06,411.38,,
promontory,411.38,412.04,,
and,412.04,412.17,,
saw,412.17,412.46,,
a,412.46,412.58,,
quite,412.58,412.99,,
different,412.99,413.46,,
country,413.46,413.99,,
a,414.44,414.51,,
sudden,414.51,415.02,,
view,415.02,415.34,,
of,415.34,415.44,,
mountains,415.44,415.93,,
steep,415.93,416.32,,
and,416.32,416.51,,
bare,416.51,416.99,,
One,417.76,417.89,,
of,417.89,417.95,,
those,417.95,418.14,,
long,418.14,418.48,,
easterly,418.48,418.88,,
spurs,418.88,419.55,,
Terry,419.55,419.81,,
said,419.81,419.99,,
appraisingly,419.99,420.6,,
May,421.08,421.23,,
be,421.23,421.3,,
hundreds,421.3,421.64,,
of,421.64,421.7,,
miles,421.7,422.07,,
from,422.07,422.25,,
the,422.25,422.33,,
range,422.33,422.84,,
They,422.99,423.12,,
crop,423.12,423.44,,
out,423.44,423.65,,
like,423.65,423.89,,
that,423.89,424.08,,
Suddenly,425.12,425.64,,
we,425.64,425.77,,
left,425.77,425.99,,
the,425.99,426.09,,
lake,426.09,426.49,,
and,426.76,426.87,,
struck,426.87,427.16,,
directly,427.16,427.6,,
toward,427.6,427.89,,
the,427.89,427.98,,
cliffs,427.98,428.46,,
We,428.99,429.15,,
heard,429.15,429.43,,
running,429.43,429.71,,
water,429.71,429.93,,
before,429.93,430.24,,
we,430.24,430.33,,
reached,430.33,430.65,,
it,430.65,430.86,,
and,431.1,431.21,,
the,431.21,431.29,,
guide,431.29,431.58,,
pointed,431.58,431.97,,
proudly,431.97,432.41,,
to,432.47,432.53,,
his,432.53,432.72,,
river,432.72,433.11,,
It,434.25,434.38,,
was,434.38,434.48,,
short,434.48,434.89,,
We,435.46,435.56,,
could,435.56,435.7,,
see,435.7,435.94,,
where,435.94,436.21,,
it,436.21,436.29,,
poured,436.29,436.6,,
down,436.6,436.82,,
a,436.82,436.87,,
narrow,436.87,437.26,,
vertical,437.26,437.63,,
cataract,437.63,438.33,,
from,438.37,438.58,,
an,438.58,438.71,,
opening,438.71,439.08,,
in,439.08,439.16,,
the,439.16,439.22,,
face,439.22,439.51,,
of,439.51,439.57,,
the,439.57,439.63,,
cliff,439.63,440.03,,
It,440.65,440.79,,
was,440.79,440.92,,
sweet,440.92,441.26,,
water,441.26,441.69,,
The,442.51,442.62,,
guide,442.62,442.93,,
drank,442.93,443.27,,
eagerly,443.27,443.74,,
and,444.05,444.15,,
so,444.15,444.34,,
did,444.34,444.48,,
we,444.48,444.9,,
That,445.42,445.55,,
’s,445.55,445.66,,
snow,445.66,446.07,,
water,446.07,446.46,,
Terry,446.49,446.77,,
announced,446.77,447.25,,
Must,447.51,447.7,,
come,447.7,447.91,,
from,447.91,448.15,,
way,448.15,448.32,,
back,448.32,448.6,,
in,448.6,448.68,,
the,448.68,448.74,,
hills,448.74,449.26,,
But,450.26,450.4,,
as,450.4,450.68,,
to,450.68,450.71,,
being,450.71,451.02,,
red,451.02,451.18,,
and,451.18,451.31,,
blue,451.31,451.69,,
it,451.69,451.88,,
was,451.88,452.22,,
greenish,452.53,453.06,,
in,453.09,453.26,,
tint,453.26,453.64,,
The,454.31,454.4,,
guide,454.4,454.69,,
seemed,454.69,454.95,,
not,454.95,455.28,,
at,455.28,455.4,,
all,455.4,455.6,,
surprised,455.6,456.24,,
He,456.24,456.34,,
hunted,456.34,456.62,,
about,456.62,456.86,,
a,456.86,456.89,,
little,456.89,457.2,,
and,457.2,457.28,,
showed,457.28,457.54,,
us,457.54,457.67,,
a,457.67,457.7,,
quiet,457.7,458.11,,
marginal,458.11,458.57,,
pool,458.57,458.9,,
where,458.9,459.1,,
there,459.1,459.22,,
were,459.22,459.34,,
smears,459.34,459.82,,
of,459.82,459.93,,
red,459.93,460.14,,
along,460.14,460.4,,
the,460.4,460.46,,
border,460.46,460.91,,
yes,461.31,461.7,,
and,462.12,462.39,,
of,462.39,462.64,,
blue,462.64,463.01,,
Terry,464.0,464.25,,
got,464.25,464.42,,
out,464.42,464.55,,
his,464.55,464.71,,
magnifying,464.71,465.28,,
glass,465.28,465.61,,
and,465.61,465.67,,
squatted,465.67,466.08,,
down,466.08,466.43,,
to,466.43,466.46,,
investigate,466.46,467.15,,
Chemicals,467.83,468.3,,
of,468.3,468.36,,
some,468.36,468.59,,
sort,468.59,468.93,,
I,468.93,469.13,,
ca,469.42,469.49,,
n’t,469.49,469.7,,
tell,469.7,470.04,,
on,470.04,470.17,,
the,470.17,470.23,,
spot,470.23,470.72,,
Look,471.25,471.48,,
to,471.48,471.51,,
me,471.51,471.63,,
like,471.63,471.88,,
dyestuffs,472.18,472.69,,
Let,472.69,472.83,,
’s,472.83,473.12,,
get,473.53,473.71,,
nearer,473.71,474.07,,
he,474.07,474.31,,
urged,474.31,474.62,,
up,474.62,474.76,,
there,474.76,474.96,,
by,474.96,475.11,,
the,475.11,475.17,,
fall,475.17,475.65,,
We,477.53,477.64,,
scrambled,477.64,478.11,,
along,478.11,478.33,,
the,478.33,478.39,,
steep,478.39,478.69,,
banks,478.69,479.04,,
and,479.04,479.12,,
got,479.12,479.29,,
close,479.29,479.58,,
to,479.58,479.61,,
the,479.61,479.78,,
pool,479.78,480.18,,
that,480.18,480.33,,
foamed,480.33,480.72,,
and,480.72,480.85,,
boiled,480.85,481.28,,
beneath,481.28,481.54,,
the,481.54,481.61,,
falling,481.61,482.01,,
water,482.01,482.41,,
Here,483.03,483.22,,
we,483.22,483.32,,
searched,483.32,483.67,,
the,483.67,483.75,,
border,483.75,484.06,,
and,484.06,484.16,,
found,484.16,484.44,,
traces,484.44,484.84,,
of,484.84,484.91,,
color,484.91,485.22,,
beyond,485.22,485.56,,
dispute,485.56,486.06,,
More,486.61,487.06,,
Jeff,487.48,487.76,,
suddenly,487.76,488.23,,
held,488.23,488.49,,
up,488.49,488.74,,
an,488.74,488.83,,
unlooked-for,488.83,489.59,,
trophy,489.59,489.97,,
It,489.97,490.1,,
was,490.96,491.16,,
only,491.16,491.42,,
a,491.42,491.47,,
rag,491.47,491.96,,
a,492.46,492.54,,
long,492.54,492.97,,
raveled,492.97,493.36,,
fragment,493.36,493.87,,
of,493.87,493.98,,
cloth,493.98,494.39,,
But,494.91,495.06,,
it,495.06,495.13,,
was,495.13,495.3,,
a,495.3,495.33,,
well-woven,495.33,496.09,,
fabric,496.09,496.55,,
with,496.84,496.99,,
a,496.99,497.03,,
pattern,497.03,497.55,,
and,497.69,497.81,,
of,497.81,497.9,,
a,497.9,497.94,,
clear,497.94,498.26,,
scarlet,498.26,498.84,,
that,498.84,498.9,,
the,498.9,498.98,,
water,498.98,499.27,,
had,499.27,499.48,,
not,499.48,499.77,,
faded,499.77,500.27,,
No,500.76,501.04,,
savage,501.04,501.6,,
tribe,501.6,501.98,,
that,501.98,502.08,,
we,502.08,502.26,,
had,502.26,502.4,,
heard,502.4,502.71,,
of,502.71,502.91,,
made,502.91,503.29,,
such,503.29,503.61,,
fabrics,503.61,504.18,,
The,505.04,505.12,,
guide,505.12,505.37,,
stood,505.37,505.58,,
serenely,505.58,506.19,,
on,506.19,506.3,,
the,506.3,506.37,,
bank,506.37,506.7,,
well,506.7,506.9,,
pleased,506.9,507.25,,
with,507.25,507.37,,
our,507.37,507.4,,
excitement,507.4,508.05,,
One,508.88,509.21,,
day,509.21,509.4,,
blue,509.4,509.97,,
one,510.06,510.27,,
day,510.27,510.45,,
red,510.45,511.01,,
one,511.01,511.25,,
day,511.25,511.42,,
green,511.42,511.82,,
he,511.82,511.96,,
told,511.96,512.23,,
us,512.23,512.47,,
and,512.8,512.93,,
pulled,512.93,513.18,,
from,513.18,513.34,,
his,513.34,513.5,,
pouch,513.5,513.92,,
another,513.99,514.35,,
strip,514.35,514.78,,
of,514.86,514.99,,
bright-hued,514.99,515.62,,
cloth,515.62,515.98,,
Come,516.96,517.19,,
down,517.19,517.67,,
he,517.84,517.97,,
said,517.97,518.21,,
pointing,518.21,518.6,,
to,518.63,518.68,,
the,518.68,518.76,,
cataract,518.76,519.34,,
Woman,519.88,520.24,,
Country,520.24,520.75,,
up,521.12,521.3,,
there,521.3,521.85,,
Then,523.7,524.2,,
we,524.43,524.68,,
were,524.68,524.88,,
interested,524.88,525.57,,
We,526.06,526.3,,
had,526.3,526.5,,
our,526.5,526.66,,
rest,526.66,527.15,,
and,527.15,527.43,,
lunch,527.43,527.73,,
right,527.73,527.88,,
there,527.91,528.33,,
and,528.66,528.81,,
pumped,528.81,529.13,,
the,529.13,529.21,,
man,529.21,529.48,,
for,529.48,529.61,,
further,529.61,529.93,,
information,529.93,530.67,,
He,531.22,531.35,,
could,531.35,531.49,,
tell,531.49,531.67,,
us,531.67,531.8,,
only,531.8,532.03,,
what,532.03,532.19,,
the,532.19,532.36,,
others,532.36,532.58,,
had,532.58,532.96,,
a,533.14,533.2,,
land,533.2,533.49,,
of,533.49,533.58,,
women,533.58,533.99,,
no,534.3,534.5,,
men,534.5,534.93,,
babies,535.31,535.77,,
but,535.77,535.99,,
all,535.99,536.16,,
girls,536.16,536.78,,
No,537.23,537.42,,
place,537.42,537.74,,
for,537.74,537.88,,
men,537.88,538.18,,
dangerous,538.18,538.94,,
Some,539.25,539.54,,
had,539.54,539.77,,
gone,539.77,540.01,,
to,540.04,540.1,,
see,540.1,540.56,,
none,540.89,541.48,,
had,541.67,541.91,,
come,541.91,542.15,,
back,542.15,542.54,,
I,543.55,543.77,,
could,543.77,544.0,,
see,544.0,544.26,,
Terry,544.26,544.61,,
’s,544.61,544.71,,
jaw,544.71,545.1,,
set,545.1,545.38,,
at,545.38,545.55,,
that,545.55,545.84,,
No,546.23,546.37,,
place,546.37,546.7,,
for,546.7,546.87,,
men,546.87,547.27,,
Dangerous,547.27,548.22,,
He,548.7,548.85,,
looked,548.85,549.05,,
as,549.05,549.17,,
if,549.17,549.25,,
he,549.25,549.34,,
might,549.34,549.53,,
shin,549.53,549.78,,
up,549.78,549.92,,
the,549.92,549.98,,
waterfall,549.98,550.51,,
on,550.51,550.61,,
the,550.61,550.69,,
spot,550.69,551.2,,
But,551.72,551.85,,
the,551.85,551.93,,
guide,551.93,552.24,,
would,552.24,552.39,,
not,552.39,552.63,,
hear,552.63,552.99,,
of,552.99,553.22,,
going,553.22,553.58,,
up,553.58,553.71,,
even,553.74,554.05,,
if,554.05,554.17,,
there,554.17,554.31,,
had,554.31,554.63,,
been,554.63,554.77,,
any,554.77,554.96,,
possible,554.96,555.47,,
method,555.47,555.77,,
of,555.77,555.84,,
scaling,555.84,556.36,,
that,556.36,556.49,,
sheer,556.49,556.76,,
cliff,556.76,557.17,,
and,557.77,557.92,,
we,557.92,558.03,,
had,558.03,558.29,,
to,558.29,558.32,,
get,558.32,558.49,,
back,558.49,558.79,,
to,558.79,558.84,,
our,558.84,558.93,,
party,558.93,559.23,,
before,559.23,559.54,,
night,559.54,559.95,,
They,561.96,562.05,,
might,562.05,562.31,,
stay,562.31,562.55,,
if,562.55,562.67,,
we,562.67,562.77,,
told,562.77,563.33,,
them,563.33,563.67,,
I,563.71,563.81,,
suggested,563.81,564.51,,
But,565.14,565.28,,
Terry,565.28,565.5,,
stopped,565.5,565.86,,
in,565.86,565.92,,
his,565.92,566.06,,
tracks,566.06,566.5,,
Look,566.86,567.07,,
here,567.07,567.24,,
fellows,567.24,567.59,,
he,567.59,567.71,,
said,567.71,568.02,,
This,568.22,568.47,,
is,568.47,568.62,,
our,568.62,568.96,,
find,568.96,569.45,,
Let,569.7,569.87,,
’s,569.87,569.95,,
not,569.95,570.14,,
tell,570.14,570.34,,
those,570.34,570.52,,
cocky,570.52,570.89,,
old,570.89,571.04,,
professors,571.04,571.58,,
Let,571.58,571.71,,
’s,571.71,571.82,,
go,571.82,572.09,,
on,572.09,572.26,,
home,572.26,572.61,,
with,572.61,572.78,,
em,572.78,572.92,,
and,572.92,573.01,,
then,573.01,573.17,,
come,573.17,573.44,,
back,573.44,573.74,,
just,573.74,574.13,,
us,574.13,574.56,,
